"Numero de trabajo","Oficina","Descripcion","Fecha","Tiempo de mantenimiento","Numero orden pago","Pagado en caja","Pagado con traspaso de cuenta","Equipos propios"
"4457","Depto. Quimica","Software ","3/3/2020","3","13611","","30",""
"4458","Hidraulica","Software ","3/4/2020","1","13612","","15",""
"4459","Biblioteca FCYT","Hardware","3/11/2020","1","13614","","650",""
"4460","Lab. Computo","Hardware","3/19/2020","1","S/N","","","0"
"4461","Externo","Hardware","3/18/2020","1","13618","50","",""
"4462","Externo","Hardware","8/25/2020","3","13624","25","",""
"4463","Externo","Hardware","3/9/2020","1","13613","25","",""
"4464","Lab. Computo","Hardware","3/6/2020","1","S/N","","","0"
"4465","Externo","Software","3/12/2020","1","13616","15","",""
"4466","Externo","Software","3/12/2020","3","13617","20","",""
"4467","Externo","Hardware","3/11/2020","1","13615","50","",""
"4468","Centro de Tec. Agroindustrial","Software","6/26/2020","3","13619","","30",""
"4469","Depto. de Informatica-Sistemas","Software","7/26/2020","1","S/N","","","0"
"4470","Secretaria de Inf - Sis","Hardware","7/22/2020","1","S/N","","","0"
"4471","Lab. de Desarrollo de Software","Software","8/5/2020","3","S/N","","","0"
"4472","Dep. de Quimica","Hardware","8/13/2020","3","13620","","45",""
"4473","Dep. de Quimica","Hardware","8/17/2020","1","13621","","40",""
"4474","Caja Facultativa","Hardware","8/18/2020","1","13622","","30",""
"4475","Caja Facultativa","Hardware","8/18/2020","3","13622","","30",""
"4476","Caja Facultativa","Hardware","8/18/2020","2","13622","","30",""
"4477","Caja Facultativa","Hardware","8/18/2020","1","13622","","30",""
"4478","Caja Facultativa","Hardware","8/18/2020","1","13622","","30",""
"4479","Caja Facultativa","Hardware","8/18/2020","1","13622","","30",""
"4480","Lab. Computo","Hardware","8/18/2020","1","S/N","","","0"
"4481","Lab. Computo","Hardware","8/18/2020","1","S/N","","","0"
"4482","Lab. Computo","Hardware","8/19/2020","1","S/N","","","0"
"4483","Lab. Computo","Hardware","8/19/2020","1","S/N","","","0"
"4484","Lab. Computo","Hardware","8/20/2020","1","S/N","","","0"
"4485","Lab. Computo","Hardware","8/20/2020","1","S/N","","","0"
"4486","Externo","Software","8/19/2020","1","13623","15","",""
"4487","Externo","Hardware","8/25/2020","1","13625","115","",""
"4488","CITEMA","Hardware","8/28/2020","2","13630","","35",""
"4489","Carrera Industrial","Hardware","8/28/2020","1","13628","","35",""
"4490","Externo","Hardware","8/26/2020","1","13626","15","",""
"4491","Biodiversidad y Genetica (Irma)","Software","8/27/2020","1","13627","","90",""
"4492","Laboratorio de Hidraulica","Software","9/15/2020","1","13646","","125",""
"4493","Externo","Hardware","9/2/2020","1","13632","80","",""
"4494","Externo","Hardware","8/31/2020","1","13631","80","",""
"4495","Centro de Biotecnologia (Externo)","Software","9/11/2020","1","13641","90","",""
"4496","Depto. de Quimica","Hardware","9/2/2020","1","13633","","90",""
"4497","Depto. de Industrial","Hardware","9/7/2020","1","13639","","100",""
"4498","Externo","Hardware","9/4/2020","1","13634","15","",""
"4499","DUEA","Software","9/4/2020","1","13637","","10",""
"4500","Externo","Hardware","9/4/2020","1","13635","50","",""
"4501","Depto. de Quimica","Software","9/7/2020","1","13638","","50",""
